input;actual;output
scheutje wijnazijn;scheutje wijnazijn;1 scheutje wijnazijn
2 bos kervel;2 bossen kervel;2 bossen kervel
20 suikereitjes;20 suikereitjes;20 stuks suikereitjes
8 takjes verse tijm;8 takjes verse tijm;8 takjes verse tijm
0.5 bevroren banaan;0.5 bevroren banaan;0,5 stuk bevroren banaan
0.5 kleine appel;0.5 appel;0,5 stuk appel
2 eetlepel fijngesneden munt;2 eetlepels munt;2 eetlepels munt, fijngesneden
10 grote aardperen;10 aardperen;10 aardperen
8 grote Charlotte aardappelen;8 Charlotte aardappelen;8 stukken aardappelen, type Charlotte
8 grote tongfilet;8 tongfilet;8 stuks tongfilet
1.5 eetlepels geraspte gember;1.5 eetlepels gember;1,5 el geraspte gember
50 g witte broden zonder korst;50g witte broden;50 g witte broden, zonder korst
1 grote rijpe avocado;1 avocado;1 avocado
3 kleine komkommers;3 komkommers;3 komkommers
12.5 cl lauw water;12.5cl water;125 ml water, lauw
20 aardappelkroketten voor in de oven (diepvries);20 aardappelkroketten diepvries voor in de oven;20 stuks aardappelkroketten (diepvries)
8 el verse kaas (roomkaas);8 el verse roomkaas;8 el roomkaas
4 stuk Spar champignons;4 stuk Spar champignons;4 stuks champignons
1 klein blik Spar tomatenstukjes;1 klein blik Spar tomatenstukjes;400 g tomatenstukjes
0.5 flesje tonic (gin-tonic framboos);0.5 flesje tonic;500 ml tonic, framboos
2 Boni bio kleine uien;2 Boni bio uien;2 stuks kleine uien, biologisch
12 fijne sneden Spar Italiaanse ham;12 sneden Spar Italiaanse ham;12 stuks fijne sneden Italiaanse ham
5 Spar grote eidooiers;5 Spar eidooiers;5 eidooiers
500 g Spar gerookte zalmrestjes;500g Spar gerookte zalm;500 g gerookte zalmrestjes
100 g witte asperges vers of diepvries;100g witte asperges vers;100 g witte asperges, vers of diepvries
750 g Spar boter (topping);750g Spar boter;750 g boter
1.5 liter zelf getrokken kippenbouillon;1.5 liter kippenbouillon;1,5 l kippenbouillon
270 g halfgedroogde kerstomaten in olie (versmarkt) + 4 eetl. olie uit de verpakking;270g halfgedroogde kerstomaten in olie versmarkt;270 g halfgedroogde kerstomaten in olie, 4 eetlepels olie uit de verpakking
3 cl puur cranberrysap bv Terschellinger;3cl puur cranberrysap;300 ml cranberrysap
10 witte asperges (diepvries) of vers;10 witte asperges;10 stuks asperges, diepvries of vers
200 g paprikareepjes vers of diepvries;200g paprikareepjes;200 g paprikareepjes, vers of diepvries
2 kleine sjalotjes;2 sjalotjes;2 sjalotjes
2 komkommer in plakjes;2 komkommers;2 komkommers, in plakjes
3 preiwitten groot;3 preiwitten;3 preiwitten
1 fles gekoelde Chardonnay;1 fles Chardonnay;1 fles Chardonnay, gekoeld
500 g Belgische aardbeien;500g Belgische aardbeien;500 g aardbeien
0.25 onbehandelde citroenen (bio)  koffiel geraspte schil;0.25 citroenen bio;250 g citroenen (biologisch), geraspte schil
1 grote rammenas (ongeveer 350 gr);350g rammenas;1 rammenas, 350 g
0.5 eetlepel fijngesneden verse basilicum;0.5 eetlepel verse basilicum;0,5 eetlepel verse basilicum, fijngesneden
"350 g Atlantische zalmhaasjes (diepvries) of Atlantische zalmsteak (diepvries; Kelvin)";350g Atlantische zalmhaasjes diepvries;350 g diepvries Atlantische zalmhaasjes of diepvries Atlantische zalmsteak (Kelvin)
1 koffiel. basilicum versgesnipperd;1 koffielepel basilicum;1 koffiel basilicum, gesnipperd
0.25 sap van  limoen;0.25 limoen;0,25 limoen, sap
20 gepelde en geblancheerde garnaalstaarten 'scampi' (diepvries);20 gepelde en geblancheerde scampi diepvries;20 stuks garnaalstaarten 'scampi', gepeld en geblancheerd, diepvries
1 zakjes slamix 'Mesclun' 175 g;175g zakje slamix 'Mesclun';175g slamix 'Mesclun'
1 dl Muscat de Rivesaltes (witte likeurwijn);1 dl Muscat de Rivesaltes;1 deciliter Muscat de Rivesaltes likeurwijn
411 blikken peren op sap 411 g/blik + 6 dl sap uit blikken;411g blikken peren op sap;411 blikken peren op sap 411 g/blik, 6 dl sap uit de blikken
450 gekookte kreeften (diepvries) 500 g;500g gekookte kreeften diepvries;450 stuks gekookte kreeften (diepvries), 500 g
500 g zachte roomkaas;500g roomkaas;500 g zachte roomkaas
60 g arrowroot (bindmiddel) facultatief;60g arrowroot bindmiddel;60 g arrowroot (bindmiddel, optioneel)
17.5 g mixed pepper selection (molen);17.5g mixed pepper selection;17,5 gram gemengde peper (molen)
1 klein blikjes Boni zwarte bonen;1 klein blik Boni zwarte bonen;240g zwarte bonen
300 g gekookte spaghetti;300g spaghetti;300 g spaghetti, gekookt
het hart van een bleekselder ( à 5 stengels);5 stengels bleekselder;5 stengels bleekselder
komkommers in plakjes;komkommers;1 komkommer, in plakjes gesneden
1.8 kg konijn in stukken gesneden;1.8kg konijn;1,8 kg konijnenstukken
enkele takken verse dragon en tijm;enkele takken verse dragon;1 bos verse dragon, 1 bos verse tijm
1 kg scampi’s (enkel schalen gebruiken);1kg scampi's;1 kg scampischalen
700 g biefstukken (beenhouwerij) extra dun;700g biefstukken beenhouwerij ;700 g biefstukken, extra dun
2 dl melk of ongezoete plantaardige drink;200ml melk;240 ml melk of ongezoete plantaardige drank
"10 ananasschijven (blik) + 1;5 dl sap uit het blik";10 ananasschijven in blik;10 ananasschijven, 150 ml ananassap
10 appel geschild en in blokjes;10 appels;10 appelen, geschild, in blokjes
"10 konijn in stukken (diepvries) ± 1;3 kg";1.3kg konijn uit diepvries;1,3 kg konijnstukken (diepvries)
"1 schapenkaas uit de vlaamse ardennen; geraspt of in blokjes";1 stuk schapenkaas uit de Vlaamse Ardennen;1 schapenkaas, geraspt of in blokjes
10 eetl. ontpitte krieken op siroop + 4 eetl siroop;10 eetl. ontpitte krieken op siroop;400 g krieken ontpit, 80 g kriekepiksiroop
"10 g gepelde biefstukken (beenhouwerij) 3 cm dik; cat. 1; vers of; colruyt-diepvriesvlees";10g biefstukken beenhouwerij;10 g biefstukken, gepeld, 3 cm dik, categorie 1, vers of diepvries
1 snuifje peper en zout;1 snuifje peper;1 snuifje peper, 1 snuifje zout
