input;actual;output
4 kippenbrochettes exotic (beenhouwerij);4 kippenbrochettes exotic beenhouwerij;4 stuks kippenbrochettes exotic
3 Voor  quiches met zalm en groenten:;3 Voor quiches met zalm en groenten;"1 rol vers bladerdeg
300 gram verse zalmfilet
250 gram diepvries fijne groenten voor roerbakken (bijv. doperwten, worteltjes, prinsessenbonen)
3 eieren
100 milliliter volle room of crème fraîche
100 gram geraspte belegen 48+ kaas 
1 theelepel gedroogde dille
peper en zout"
4 spruitjes;4 spruitjes;- 4 stuks spruitjes
8 kerstomaat;8 kerstomaat;8 stuks kerstomaten
100 g zongedroogde mediterrane tomaten (versmarkt);100g zongedroogde mediterrane tomaten versmarkt;100 gram zongedroogde mediterrane tomaten
4 chocolademoelleuxs;4 chocolademoelleuxs;4 stuks chocolademouelleux
200 g peultjes (diepvries);200g peultjes diepvries;200 gram peultjes, diepvries
4 peperkoek;4 peperkoek;- 4 stuks peperkoek
6 takje platte peterselie;6 takjes platte peterselie;6 takjes platte peterselie
scheutje wijnazijn;scheutje wijnazijn;1 scheutje wijnazijn
2 bos kervel;2 bossen kervel;- 2 bos kervel
20 suikereitjes;20 suikereitjes;20 suikereitjes
8 takjes verse tijm;8 takjes verse tijm;8 takjes verse tijm
0.5 bevroren banaan;0.5 bevroren banaan;1/2 bevroren banaan
0.5 kleine appel;0.5 appel;0.5 kleine appel
2 eetlepel fijngesneden munt;2 eetlepels munt;2 eetlepels munt, fijngesneden
10 grote aardperen;10 aardperen;10 stuks aardperen, groot
8 grote Charlotte aardappelen;8 Charlotte aardappelen;- 8 stuks Charlotte aardappelen, grote
8 grote tongfilet;8 tongfilet;- 8 stuks tongfilet, groot
1.5 eetlepels geraspte gember;1.5 eetlepels gember;15 gram geraspte gember
50 g witte broden zonder korst;50g witte broden;50 gram witbrood, zonder korst
1 grote rijpe avocado;1 avocado;1 stuk grote rijpe avocado
3 kleine komkommers;3 komkommers;3 komkommers, kleine
12.5 cl lauw water;12.5cl water;125 ml lauw water
20 aardappelkroketten voor in de oven (diepvries);20 aardappelkroketten diepvries voor in de oven;20 stuks aardappelkroketten (diepvries)
8 el verse kaas (roomkaas);8 el verse roomkaas;8 el roomkaas
4 stuk Spar champignons;4 stuk Spar champignons;4 stuks champignons
1 klein blik Spar tomatenstukjes;1 klein blik Spar tomatenstukjes;400 gram Spar tomatenstukjes uit blik
0.5 flesje tonic (gin-tonic framboos);0.5 flesje tonic;0.5 flesje tonic
2 Boni bio kleine uien;2 Boni bio uien;2 stuks Boni bio kleine uien
12 fijne sneden Spar Italiaanse ham;12 sneden Spar Italiaanse ham;12 sneden Spar Italiaanse ham
5 Spar grote eidooiers;5 Spar eidooiers;5 stuks eidooiers, groot
500 g Spar gerookte zalmrestjes;500g Spar gerookte zalm;500 gram gerookte zalmrestjes (Spar)
100 g witte asperges vers of diepvries;100g witte asperges vers;100 gram witte asperges, vers of diepvries
750 g Spar boter (topping);750g Spar boter;750 gram Spar boter
1.5 liter zelf getrokken kippenbouillon;1.5 liter kippenbouillon;1.5 liter kippenbouillon
270 g halfgedroogde kerstomaten in olie (versmarkt) + 4 eetl. olie uit de verpakking;270g halfgedroogde kerstomaten in olie versmarkt;"270 gram halfgedroogde kerstomaten in olie (versmarkt)
4 eetlepels olie (uit verpakking kerstomaten)"
3 cl puur cranberrysap bv Terschellinger;3cl puur cranberrysap;30 ml puur cranberrysap (bijvoorbeeld Terschellinger)
10 witte asperges (diepvries) of vers;10 witte asperges;10 stuks witte asperges (diepvries of vers)
200 g paprikareepjes vers of diepvries;200g paprikareepjes;200 gram paprikareepjes, vers of diepvries
2 kleine sjalotjes;2 sjalotjes;2 sjalotjes
2 komkommer in plakjes;2 komkommers;- 2 komkommers, in plakjes
3 preiwitten groot;3 preiwitten;- 3 preien, wit gedeelte
1 fles gekoelde Chardonnay;1 fles Chardonnay;- 1 fles gekoelde Chardonnay
500 g Belgische aardbeien;500g Belgische aardbeien;500 gram aardbeien, Belgische
0.25 onbehandelde citroenen (bio)  koffiel geraspte schil;0.25 citroenen bio;0.25 stuk onbehandelde bio citroenen, koffielepel geraspte schil
1 grote rammenas (ongeveer 350 gr);350g rammenas;350 gram rammenas
0.5 eetlepel fijngesneden verse basilicum;0.5 eetlepel verse basilicum;0.5 eetlepel verse basilicum, fijngesneden
"350 g Atlantische zalmhaasjes (diepvries) of Atlantische zalmsteak (diepvries; Kelvin)";350g Atlantische zalmhaasjes diepvries;350 gram Atlantische zalmhaasjes, diepvries
1 koffiel. basilicum versgesnipperd;1 koffielepel basilicum;1 koffielepel basilicum, vers, gesnipperd
0.25 sap van  limoen;0.25 limoen;0.25 stuk limoen
20 gepelde en geblancheerde garnaalstaarten 'scampi' (diepvries);20 gepelde en geblancheerde scampi diepvries;20 garnaalstaarten, diepvries
1 zakjes slamix 'Mesclun' 175 g;175g zakje slamix 'Mesclun';- 175 gram slamix 'Mesclun'
1 dl Muscat de Rivesaltes (witte likeurwijn);1 dl Muscat de Rivesaltes;100 ml Muscat de Rivesaltes witte likeurwijn
411 blikken peren op sap 411 g/blik + 6 dl sap uit blikken;411g blikken peren op sap;"- 411 blikken peren op sap (411 g per blik)
- 600 ml sap (uit blikken peren)"
450 gekookte kreeften (diepvries) 500 g;500g gekookte kreeften diepvries;450 gram gekookte kreeften (diepvries)
500 g zachte roomkaas;500g roomkaas;500 gram roomkaas, zacht
60 g arrowroot (bindmiddel) facultatief;60g arrowroot bindmiddel;60 gram arrowroot
17.5 g mixed pepper selection (molen);17.5g mixed pepper selection;17.5 gram gemengde pepersoorten (uit de molen)
1 klein blikjes Boni zwarte bonen;1 klein blik Boni zwarte bonen;400 gram zwarte bonen uit blik (Boni)
300 g gekookte spaghetti;300g spaghetti;300 gram spaghetti, gekookt
het hart van een bleekselder ( à 5 stengels);5 stengels bleekselder;1 blekselderhartje
komkommers in plakjes;komkommers;1 komkommer, in plakjes
1.8 kg konijn in stukken gesneden;1.8kg konijn;- 1800 g konijn, in stukken gesneden
enkele takken verse dragon en tijm;enkele takken verse dragon;"1 tak verse dragon
1 tak verse tijm"
1 kg scampi’s (enkel schalen gebruiken);1kg scampi's;1 kg scampi's
700 g biefstukken (beenhouwerij) extra dun;700g biefstukken beenhouwerij ;700 gram biefstukken, extra dun
2 dl melk of ongezoete plantaardige drink;200ml melk;200 ml melk of ongezoete plantaardige drank
"10 ananasschijven (blik) + 1;5 dl sap uit het blik";10 ananasschijven in blik;"10 schijven ananas uit blik
1,5 dl ananassap (uit blik ananas)"
10 appel geschild en in blokjes;10 appels;10 appels, geschild, in blokjes
"10 konijn in stukken (diepvries) ± 1;3 kg";1.3kg konijn uit diepvries;1300 gram konijn, in stukken (diepvries)
"1 schapenkaas uit de vlaamse ardennen; geraspt of in blokjes";1 stuk schapenkaas uit de Vlaamse Ardennen;1 schapenkaas uit de Vlaamse Ardennen, geraspt of in blokjes
10 eetl. ontpitte krieken op siroop + 4 eetl siroop;10 eetl. ontpitte krieken op siroop;"10 eetlepels ontpitte krieken op siroop
4 eetlepels siroop"
"10 g gepelde biefstukken (beenhouwerij) 3 cm dik; cat. 1; vers of; colruyt-diepvriesvlees";10g biefstukken beenhouwerij;10 gram biefstuk, gepeld, 3 cm dik, vers of diepvries (Colruyt)
1 snuifje peper en zout;1 snuifje peper;"- 1 snuifje peper
- 1 snuifje zout"
