input;actual;prediction
12 witte druiven;12 witte druiven;"12 gram driehen

(Note: I assumed ""witte druiven"" refers to raisins, and assumed the unit of measurement was weight. If this is incorrect, please clarify the meaning and unit of measurement.)"
700 g tomaten;700g tomaten;Tomaten (700 g)
4 kippenbrochettes exotic (beenhouwerij);4 kippenbrochettes exotic beenhouwerij;Kippenbrok 400 g
3 Voor  quiches met zalm en groenten:;3 Voor quiches met zalm en groenten;Eieren (3), Zalm (200g), Margarine (100g), Bloem (100g), Suiker (20g), Zout (5g), Peper (5g), Paprika (15g), Ui (100g), Vetblad (50g), Glutenvrij **.Optioneel**: Claussen (100g) **bewaren: koel**, bio **Voorkeur**
4 spruitjes;4 spruitjes;4 spruitjes
8 kerstomaat;8 kerstomaat;8 kerstomaat (250 gram)
100 g zongedroogde mediterrane tomaten (versmarkt);100g zongedroogde mediterrane tomaten versmarkt;Zongedroogde mediterrane tomaten 100 g
4 chocolademoelleuxs;4 chocolademoelleuxs;Chocolademoelleuxs: 4
200 g peultjes (diepvries);200g peultjes diepvries;200 g peultjes
4 peperkoek;4 peperkoek;50g peperkoek
6 takje platte peterselie;6 takjes platte peterselie;6 gram peterselie
scheutje wijnazijn;scheutje wijnazijn;Wijnazijn (250 ml)
2 bos kervel;2 bossen kervel;20 gram kervel
20 suikereitjes;20 suikereitjes;Suiker - 20 stuks
8 takjes verse tijm;8 takjes verse tijm;8 gram tijm
0.5 bevroren banaan;0.5 bevroren banaan;Banaan (50g)
0.5 kleine appel;0.5 appel;Appel (50g)
2 eetlepel fijngesneden munt;2 eetlepels munt;Munt (2 eetlepels)
10 grote aardperen;10 aardperen;Aardperen: 1000 gram
8 grote Charlotte aardappelen;8 Charlotte aardappelen;Aardappelen: 800 gram
8 grote tongfilet;8 tongfilet;8 grote tongfilet
1.5 eetlepels geraspte gember;1.5 eetlepels gember;Gember: 15 gram
50 g witte broden zonder korst;50g witte broden;witte broden (50 g)
1 grote rijpe avocado;1 avocado;1 avocado (290g)
3 kleine komkommers;3 komkommers;Komkommers: 3 stuks
12.5 cl lauw water;12.5cl water;12,5 g water
20 aardappelkroketten voor in de oven (diepvries);20 aardappelkroketten diepvries voor in de oven;Aardappelkroketten (400 g Kunst smeermiddel, 20 stuks)
8 el verse kaas (roomkaas);8 el verse roomkaas;Kaas (250g)
4 stuk Spar champignons;4 stuk Spar champignons;Champignons (4 stuks)
1 klein blik Spar tomatenstukjes;1 klein blik Spar tomatenstukjes;Tomatenstukjes, 120 g
0.5 flesje tonic (gin-tonic framboos);0.5 flesje tonic;* Tonic 0.5 flesjee (gram)
2 Boni bio kleine uien;2 Boni bio uien;2 kleine uien (ongeveer 100g)
12 fijne sneden Spar Italiaanse ham;12 sneden Spar Italiaanse ham;12 gram Italiaanse ham
5 Spar grote eidooiers;5 Spar eidooiers;Eieren (500 g)
500 g Spar gerookte zalmrestjes;500g Spar gerookte zalm;500 g gerookte zalmrestjes
100 g witte asperges vers of diepvries;100g witte asperges vers;100 g asperges
750 g Spar boter (topping);750g Spar boter;750 g boter
1.5 liter zelf getrokken kippenbouillon;1.5 liter kippenbouillon;Kippenbouillon: 1500 gram
270 g halfgedroogde kerstomaten in olie (versmarkt) + 4 eetl. olie uit de verpakking;270g halfgedroogde kerstomaten in olie versmarkt;540 g halfgedroogde kerstomaten, in olie (versmarkt)
3 cl puur cranberrysap bv Terschellinger;3cl puur cranberrysap;Cranber-cruidsap (300g)
10 witte asperges (diepvries) of vers;10 witte asperges;170g asperges
200 g paprikareepjes vers of diepvries;200g paprikareepjes;200 g paprikareepjes
2 kleine sjalotjes;2 sjalotjes;2 sjalotten (57g)
2 komkommer in plakjes;2 komkommers;Komkommer 200g
3 preiwitten groot;3 preiwitten;Eieren: 3 stuks
1 fles gekoelde Chardonnay;1 fles Chardonnay;Gekoelde Chardonnay (1 fles)
500 g Belgische aardbeien;500g Belgische aardbeien;500 g aardbeien
0.25 onbehandelde citroenen (bio)  koffiel geraspte schil;0.25 citroenen bio;Citroenen (250g, bio)
1 grote rammenas (ongeveer 350 gr);350g rammenas;Rammenas (350 g)
0.5 eetlepel fijngesneden verse basilicum;0.5 eetlepel verse basilicum;Basilicum (0,5 eetlepel)
"350 g Atlantische zalmhaasjes (diepvries) of Atlantische zalmsteak (diepvries; Kelvin)";350g Atlantische zalmhaasjes diepvries;350 g Atlantische zalm (diepvries)
1 koffiel. basilicum versgesnipperd;1 koffielepel basilicum;Basilicum: 100 gram
0.25 sap van  limoen;0.25 limoen;25 g limoensap
20 gepelde en geblancheerde garnaalstaarten 'scampi' (diepvries);20 gepelde en geblancheerde scampi diepvries;20 g scampi (diepvries)
1 zakjes slamix 'Mesclun' 175 g;175g zakje slamix 'Mesclun';Slamix 'Mesclun' (175 g)
1 dl Muscat de Rivesaltes (witte likeurwijn);1 dl Muscat de Rivesaltes;1 dl Muscat de Rivesaltes (witte likeurwijn)
411 blikken peren op sap 411 g/blik + 6 dl sap uit blikken;411g blikken peren op sap;Peren op sap (441 g)
450 gekookte kreeften (diepvries) 500 g;500g gekookte kreeften diepvries;Kokte kreeften (diepvries) 500g
500 g zachte roomkaas;500g roomkaas;Roomkaas (500 gram)
60 g arrowroot (bindmiddel) facultatief;60g arrowroot bindmiddel;Arrowroot (60 g)
17.5 g mixed pepper selection (molen);17.5g mixed pepper selection;Mengpeper Selectie 17,5 g
1 klein blikjes Boni zwarte bonen;1 klein blik Boni zwarte bonen;* Zwarte bonen: 140g
300 g gekookte spaghetti;300g spaghetti;300 g spaghetti
het hart van een bleekselder ( Ã  5 stengels);5 stengels bleekselder;Hart van bleekselder: 500 gram
komkommers in plakjes;komkommers;Komkommers 200 g
1.8 kg konijn in stukken gesneden;1.8kg konijn;1,8 kg konijn
enkele takken verse dragon en tijm;enkele takken verse dragon;"* Verse dragon: 20 gram
* Verse tijm: 10 gram"
1 kg scampiâ€™s (enkel schalen gebruiken);1kg scampi's;1 kg scampi
700 g biefstukken (beenhouwerij) extra dun;700g biefstukken beenhouwerij ;700 g biefstuk
2 dl melk of ongezoete plantaardige drink;200ml melk;500 ml melk of plantaardige drink
"10 ananasschijven (blik) + 1;5 dl sap uit het blik";10 ananasschijven in blik;"• Ananas: 150 gram (blik)
• Ananas sap: 1,5 dl"
10 appel geschild en in blokjes;10 appels;10 appeln, 10 grammen
"10 konijn in stukken (diepvries) Â± 1;3 kg";1.3kg konijn uit diepvries;Konijn in stukken (diepvries) 1,3 kg
"1 schapenkaas uit de vlaamse ardennen; geraspt of in blokjes";1 stuk schapenkaas uit de Vlaamse Ardennen;1. Schaapkaas (250g)
10 eetl. ontpitte krieken op siroop + 4 eetl siroop;10 eetl. ontpitte krieken op siroop;Krieken (100 g) + Siroop (80 g) Bio, bewaren een koud, droge plaats.
"10 g gepelde biefstukken (beenhouwerij) 3 cm dik; cat. 1; vers of; colruyt-diepvriesvlees";10g biefstukken beenhouwerij;Beefsteak (10g)
1 snuifje peper en zout;1 snuifje peper;"Peper: 1 snuifje
Zout: 1 snuifje"
