input;actual;output
100 g zongedroogde mediterrane tomaten (versmarkt);100g zongedroogde mediterrane tomaten versmarkt;Zongedroogde tomaten (100 g)
4 chocolademoelleuxs;4 chocolademoelleuxs;* Chocolate: 4 stuk(s)
200 g peultjes (diepvries);200g peultjes diepvries;200 g peultjes, diepvries
4 peperkoek;4 peperkoek;Peperkoek: 400 g
6 takje platte peterselie;6 takjes platte peterselie;6 gram peterselie
scheutje wijnazijn;scheutje wijnazijn;Wijnazijn 250gr
2 bos kervel;2 bossen kervel;2 gram kervel
20 suikereitjes;20 suikereitjes;20 suikereitjes (gram)
8 takjes verse tijm;8 takjes verse tijm;8 g tijm
0.5 bevroren banaan;0.5 bevroren banaan;Bananen, 500 g
0.5 kleine appel;0.5 appel;Appel 0,5 stuks
2 eetlepel fijngesneden munt;2 eetlepels munt;20 gram munt
10 grote aardperen;10 aardperen;Aardperen: 1000g
8 grote Charlotte aardappelen;8 Charlotte aardappelen;Aardappelen (800g)
8 grote tongfilet;8 tongfilet;8 gram tongfilet
1.5 eetlepels geraspte gember;1.5 eetlepels gember;1,5 g geraspte gember
50 g witte broden zonder korst;50g witte broden;Wit brood (50 g)
1 grote rijpe avocado;1 avocado;1 avocado (225 gram)
3 kleine komkommers;3 komkommers;Komkommers, 3 stuks
12.5 cl lauw water;12.5cl water;1200 ml lauw water
20 aardappelkroketten voor in de oven (diepvries);20 aardappelkroketten diepvries voor in de oven;Aardappelkroketten 200g, bio
8 el verse kaas (roomkaas);8 el verse roomkaas;8 g roomkaas
4 stuk Spar champignons;4 stuk Spar champignons;Champignons: 4 stuk
1 klein blik Spar tomatenstukjes;1 klein blik Spar tomatenstukjes;1 x 140g tomatenstukjes
0.5 flesje tonic (gin-tonic framboos);0.5 flesje tonic;Tonicwater (0.5 flesjes)
2 Boni bio kleine uien;2 Boni bio uien;2 kleine uien (60g)
12 fijne sneden Spar Italiaanse ham;12 sneden Spar Italiaanse ham;12 stuk(s) Spar Italiaanse ham
5 Spar grote eidooiers;5 Spar eidooiers;Ei (5 stuks)
500 g Spar gerookte zalmrestjes;500g Spar gerookte zalm;500 g gerookte zalmrestjes
100 g witte asperges vers of diepvries;100g witte asperges vers;Asperges 100 g
750 g Spar boter (topping);750g Spar boter;750 g boter
1.5 liter zelf getrokken kippenbouillon;1.5 liter kippenbouillon;Chicken broth 750g
270 g halfgedroogde kerstomaten in olie (versmarkt) + 4 eetl. olie uit de verpakking;270g halfgedroogde kerstomaten in olie versmarkt;Halfgedroogde kerstomaten 270 g + Olieverpakkingsolie 4 eetl.
3 cl puur cranberrysap bv Terschellinger;3cl puur cranberrysap;3 cl cranberrysap
10 witte asperges (diepvries) of vers;10 witte asperges;Asperges (10 stuks)
200 g paprikareepjes vers of diepvries;200g paprikareepjes;200 g paprika reepjes
2 kleine sjalotjes;2 sjalotjes;2 sjalotjes
2 komkommer in plakjes;2 komkommers;2 komkommer (plakjes)
3 preiwitten groot;3 preiwitten;Prei (3 stuks)
1 fles gekoelde Chardonnay;1 fles Chardonnay;Wijn (1 fles)
500 g Belgische aardbeien;500g Belgische aardbeien;Belgische aardbeien 500 g
0.25 onbehandelde citroenen (bio)  koffiel geraspte schil;0.25 citroenen bio;Citroen (250g) (bio)
1 grote rammenas (ongeveer 350 gr);350g rammenas;350 g rammenas
0.5 eetlepel fijngesneden verse basilicum;0.5 eetlepel verse basilicum;Basilicum (5g)
"350 g Atlantische zalmhaasjes (diepvries) of Atlantische zalmsteak (diepvries; Kelvin)";350g Atlantische zalmhaasjes diepvries;350 g zalmhaasjes of zalmsteak (diepvries)
1 koffiel. basilicum versgesnipperd;1 koffielepel basilicum;* 1x basilicum (versgesnipperd)
0.25 sap van  limoen;0.25 limoen;Limoensap (25g)
20 gepelde en geblancheerde garnaalstaarten 'scampi' (diepvries);20 gepelde en geblancheerde scampi diepvries;20 scampi np 50 g
1 zakjes slamix 'Mesclun' 175 g;175g zakje slamix 'Mesclun';Slamix 'Mesclun' 175 g
1 dl Muscat de Rivesaltes (witte likeurwijn);1 dl Muscat de Rivesaltes;Muscat de Rivesaltes (witte likeurwijn) - 1000 ml
411 blikken peren op sap 411 g/blik + 6 dl sap uit blikken;411g blikken peren op sap;"Peren 411 g + Sap 369 ml (vermelding ""uit blikken"" wordt verwijderd om lijn te vereenvoudigen)"
450 gekookte kreeften (diepvries) 500 g;500g gekookte kreeften diepvries;Kreeften (diepvries): 500 g
500 g zachte roomkaas;500g roomkaas;500 g roomkaas
60 g arrowroot (bindmiddel) facultatief;60g arrowroot bindmiddel;Arrowroot (60 g)
17.5 g mixed pepper selection (molen);17.5g mixed pepper selection;17,5 g pepper
1 klein blikjes Boni zwarte bonen;1 klein blik Boni zwarte bonen;* Zwarte bonen (180g)
300 g gekookte spaghetti;300g spaghetti;300 g spaghetti
het hart van een bleekselder ( à 5 stengels);5 stengels bleekselder;Selderij (500g)
komkommers in plakjes;komkommers;Komkommers (100g)
1.8 kg konijn in stukken gesneden;1.8kg konijn;1.8 kg konijn
enkele takken verse dragon en tijm;enkele takken verse dragon;"* Vers dragon: 20-25 g
* Tijm: 5-7 g"
1 kg scampi’s (enkel schalen gebruiken);1kg scampi's;1 kg scampi
700 g biefstukken (beenhouwerij) extra dun;700g biefstukken beenhouwerij ;700 g biefstuk
2 dl melk of ongezoete plantaardige drink;200ml melk;"Melk 4 dl 
Ongezoete plantaardige drink 4 dl"
"10 ananasschijven (blik) + 1;5 dl sap uit het blik";10 ananasschijven in blik;Ananassap (1 dl)
10 appel geschild en in blokjes;10 appels;Apple (10 pieces)
"10 konijn in stukken (diepvries) ± 1;3 kg";1.3kg konijn uit diepvries;Konijn in stukken (diepvries) 1,3 kg
"1 schapenkaas uit de vlaamse ardennen; geraspt of in blokjes";1 stuk schapenkaas uit de Vlaamse Ardennen;Schapenkaas (200g)
10 eetl. ontpitte krieken op siroop + 4 eetl siroop;10 eetl. ontpitte krieken op siroop;1 x 84 g krieken 1 x 120 ml siroop
"10 g gepelde biefstukken (beenhouwerij) 3 cm dik; cat. 1; vers of; colruyt-diepvriesvlees";10g biefstukken beenhouwerij;Beefsteaks (10 g)
1 snuifje peper en zout;1 snuifje peper;Peper (1 snuifje, ongeveer 0,5 gram)
