input;actual;prediction
0.5 kleine appel;0.5 appel;0,5 appel
2 eetlepel fijngesneden munt;2 eetlepels munt;2 eetlepels verse munt
10 grote aardperen;10 aardperen;10 stuks aardperen
8 grote Charlotte aardappelen;8 Charlotte aardappelen;8 kg Charlotte aardappelen
8 grote tongfilet;8 tongfilet;800 g tongfilet
1.5 eetlepels geraspte gember;1.5 eetlepels gember;1,5 eetlepels geraspte gember
50 g witte broden zonder korst;50g witte broden;50 g wit brood zonder korst
1 grote rijpe avocado;1 avocado;1 grote avocado
3 kleine komkommers;3 komkommers;3 komkommers
12.5 cl lauw water;12.5cl water;12,5 cl lauw water
20 aardappelkroketten voor in de oven (diepvries);20 aardappelkroketten diepvries voor in de oven;20 stuks aardappelkroketten (diepvries)
8 el verse kaas (roomkaas);8 el verse roomkaas;250 g verse kaas (roomkaas)
4 stuk Spar champignons;4 stuk Spar champignons;400 g Spar champignons
1 klein blik Spar tomatenstukjes;1 klein blik Spar tomatenstukjes;1 blik (400 g) Spar tomatenstukjes
0.5 flesje tonic (gin-tonic framboos);0.5 flesje tonic;0,5 flesje tonic (gin-tonic framboos)
2 Boni bio kleine uien;2 Boni bio uien;300 g Boni bio kleine uien
12 fijne sneden Spar Italiaanse ham;12 sneden Spar Italiaanse ham;12 sneden Spar Italiaanse ham
5 Spar grote eidooiers;5 Spar eidooiers;5 eidooiers
500 g Spar gerookte zalmrestjes;500g Spar gerookte zalm;500 g gerookte zalmrestjes
100 g witte asperges vers of diepvries;100g witte asperges vers;100 g witte asperges
750 g Spar boter (topping);750g Spar boter;750 g boter
1.5 liter zelf getrokken kippenbouillon;1.5 liter kippenbouillon;1,5 liter zelfgemaakte kippenbouillon
270 g halfgedroogde kerstomaten in olie (versmarkt) + 4 eetl. olie uit de verpakking;270g halfgedroogde kerstomaten in olie versmarkt;270 g halfgedroogde kerstomaten in olie
3 cl puur cranberrysap bv Terschellinger;3cl puur cranberrysap;3 cl puur cranberrysap
10 witte asperges (diepvries) of vers;10 witte asperges;10 stuks witte asperges (diepvries of vers)
200 g paprikareepjes vers of diepvries;200g paprikareepjes;200 g paprikareepjes
2 kleine sjalotjes;2 sjalotjes;2 kleine sjalotjes
2 komkommer in plakjes;2 komkommers;2 stuks komkommer, in plakjes
3 preiwitten groot;3 preiwitten;3 preiwitten
1 fles gekoelde Chardonnay;1 fles Chardonnay;1 fles gekoelde Chardonnay
500 g Belgische aardbeien;500g Belgische aardbeien;500 g aardbeien
0.25 onbehandelde citroenen (bio)  koffiel geraspte schil;0.25 citroenen bio;0,25 kg onbehandelde (bio) citroenen, geraspte schil
1 grote rammenas (ongeveer 350 gr);350g rammenas;1 grote rammenas (circa 350 g)
0.5 eetlepel fijngesneden verse basilicum;0.5 eetlepel verse basilicum;0,5 eetlepel verse basilicum
"350 g Atlantische zalmhaasjes (diepvries) of Atlantische zalmsteak (diepvries; Kelvin)";350g Atlantische zalmhaasjes diepvries;"350 g Atlantische zalmhaasjes (diepvries) of Atlantische zalmsteak (diepvries; Kelvin)"
1 koffiel. basilicum versgesnipperd;1 koffielepel basilicum;1 kop verse basilicum, versnipperd
0.25 sap van  limoen;0.25 limoen;25 ml sap van limoen
20 gepelde en geblancheerde garnaalstaarten 'scampi' (diepvries);20 gepelde en geblancheerde scampi diepvries;20 gepelde en geblancheerde garnaalstaarten 'scampi', diepvries
1 zakjes slamix 'Mesclun' 175 g;175g zakje slamix 'Mesclun';175 g slamix 'Mesclun'
1 dl Muscat de Rivesaltes (witte likeurwijn);1 dl Muscat de Rivesaltes;1 dl Muscat de Rivesaltes
411 blikken peren op sap 411 g/blik + 6 dl sap uit blikken;411g blikken peren op sap;411 g peren op sap
450 gekookte kreeften (diepvries) 500 g;500g gekookte kreeften diepvries;450 g gekookte kreeften (diepvries)
500 g zachte roomkaas;500g roomkaas;500 g zachte roomkaas
60 g arrowroot (bindmiddel) facultatief;60g arrowroot bindmiddel;60 g arrowroot (bindmiddel)
17.5 g mixed pepper selection (molen);17.5g mixed pepper selection;17,5 g gemengde pepermolen
1 klein blikjes Boni zwarte bonen;1 klein blik Boni zwarte bonen;1 blikje (400 g) Boni zwarte bonen
300 g gekookte spaghetti;300g spaghetti;300 g spaghetti
het hart van een bleekselder ( à 5 stengels);5 stengels bleekselder;5 stengels bleekselder
komkommers in plakjes;komkommers;2 komkommers, in plakjes gesneden
1.8 kg konijn in stukken gesneden;1.8kg konijn;1,8 kg konijn in stukken
enkele takken verse dragon en tijm;enkele takken verse dragon;"50 g verse dragon
10 g verse tijm"
1 kg scampi’s (enkel schalen gebruiken);1kg scampi's;1 kg scampi's
700 g biefstukken (beenhouwerij) extra dun;700g biefstukken beenhouwerij ;700 g biefstukken extra dun
2 dl melk of ongezoete plantaardige drink;200ml melk;2 dl melk of ongezoete plantaardige drink
"10 ananasschijven (blik) + 1;5 dl sap uit het blik";10 ananasschijven in blik;"10 ananasschijven (blik)
1,5 dl ananassap (blik)"
10 appel geschild en in blokjes;10 appels;500 g appel, geschild en in blokjes
"10 konijn in stukken (diepvries) ± 1;3 kg";1.3kg konijn uit diepvries;1,3 kg diepvries konijn in stukken
"1 schapenkaas uit de vlaamse ardennen; geraspt of in blokjes";1 stuk schapenkaas uit de Vlaamse Ardennen;100 g schapenkaas uit de Vlaamse Ardennen, geraspt of in blokjes
10 eetl. ontpitte krieken op siroop + 4 eetl siroop;10 eetl. ontpitte krieken op siroop;10 eetlepels ontpitte krieken op siroop, 4 eetlepels siroop
"10 g gepelde biefstukken (beenhouwerij) 3 cm dik; cat. 1; vers of; colruyt-diepvriesvlees";10g biefstukken beenhouwerij;10 g biefstukken, 3 cm dik
1 snuifje peper en zout;1 snuifje peper;1 snuifje peper en zout
