input;actual;prediction
3 zoetzure augurk;3 zoetzure augurk;3 zoetzure augurk
250 g zeezout;250g zeezout;250 g zeezout
2 dl Blanche de Namur (witbier);200ml Blanche de Namur witbier;200 ml Blanche de Namur
takjes verse tijm;takjes verse tijm;Takjes verse tijm
6 blauwe bessen;6 blauwe bessen;6 blauwe bessen
300 g tomatenvlees met groenten (bokaal);300g tomatenvlees met groenten in bokaal;300 g tomatenvlees
scheutje rode wijnazijn;scheutje rode wijnazijn;Scheutje rode wijnazijn
1 eetl Mexicaanse chili (kruidenmix);1 eetlepel Mexicaanse chili kruidenmix;"1 eetl Mexicaanse chili>\<br style=""color: #666; font-size: 14px; font-family: Arial, sans-serif;"">"
2 eetl volle yoghurt natuur;2 eetlepels volle yoghurt natuur;2 eetl volle yoghurt
1 koffiel knoflookpasta met zonnebloemolie;1 koffielepel knoflookpasta met zonnebloemolie;1 koffiel knoflookpasta met zonnebloemolie
8 g kandijsiroop;8g kandijsiroop;8 g kandijsiroop
zwarte olijven zonder pit;zwarte olijven zonder pit;zwarte olijven
250 g gezouten spekblokjes versmarkt;250g gezouten spekblokjes versmarkt;250 g gezouten spek
0.5 kop bloem;0.5 kop bloem;500 g bloem
6 honingtomaatjes;6 honingtomaatjes;6 honingtomaatjes
6 el bloemsuiker;6 el bloemsuiker;6 gram bloemsuiker
2 komkommer;2 komkommers;2 komkommers
130 g voorgekookte tarwegraantjes;130g voorgekookte tarwegraantjes;130 g voorgekookte tarwegraantjes
3.5 dl halfvolle melk;350ml halfvolle melk;3,5 dl halfvolle melk
0.33 ananassen;0.33 ananassen;0.33 ananas
1 plantjes verse tijm;1 plantje verse tijm;1 plantjes verse tijm
450 g gekookte rode biet;450g gekookte rode biet;450 g gekookte rode biet
3 sneetje toastbrood;3 sneetjes toastbrood;3 sneetjes toastbrood
200 g blauwgeaderde kaas;200g blauwgeaderde kaas;200 g blauwgeaderde kaas
1.2 kg gepelde tomaten (blik);1.2kg gepelde tomaten in blik;1.2 kg tomaten in blik
1 el gedroogde tijm;1 el gedroogde tijm;1 el gedroogde tijm
200 g boekweitmeel volkoren;200g boekweitmeel volkoren;200 g boekweitmeel
4 bollen mojitosorbet (diepvries);4 bollen mojitosorbet diepvries;4 bollen mojitosorbet
6 verse fijne lasagnebladen;6 verse lasagnebladen;6 lasagnebladen
4 kalfsescalopes (beenhouwerij);4 kalfsescalopes beenhouwerij;4 kalfsescalopes
2 koffielepel komijnzaadjes;2 koffielepels komijnzaadjes;2 koffielepeltjes komijnzaadjes
2 koffiel Provençaalse kruidenmix (molen);2 koffiel Provençaalse kruidenmix (molen);2 koffiel Proven�aalse kruidenmix
1.5 kg aardappelnootjes (diepvries);1.5kg aardappelnootjes diepvries;1.5 kg aardappelnootjes
100 g walnootpitten;100g walnootpitten;100 g walnootpitten
200 g vermicelli;200g vermicelli;200 g vermicelli
4 dl magere melk;400ml magere melk;400 ml magere melk
165 g boudoirs (lange vingers);165g boudoirs;165 g boudoirs
10 el zonnebloemolie;10 el zonnebloemolie;10 g zonnebloemolie
200 g gemengd gehakt;200g gemengd gehakt;200 g gehakt
400 g pasta naar keuze;400g pasta;400 g pasta
400 g macaroni volkoren;400g macaroni volkoren;400 g macaroni
700 ml rundbouillon;700ml rundbouillon;700 ml rundbouillon
1 takjes koriander;1 takje koriander;1 tak koriander
Romeinse slaharten;Romeinse slaharten;Romeinse sla
verse kokosnootstukjes;verse kokosnootstukjes;verse kokosnootstukjes
1 l Heide Atelier vanilleroomijs;1 l Heide Atelier vanilleroomijs;1 l vanilleroomijs
1 dl droge vermouth;1 dl droge vermouth;1 dl droge vermouth
200 g Atlantische zalmsteaks (diepvries) of zalmhaasjes;200g Atlantische zalmsteaks diepvries;200 g zalmsteaks
250 broccoli's of 400 g broccoliroosjes (diepvries);250 broccoli's;400 g broccoliroosjes diepvries
300 g Alaska-pollakfilets (diepvries);300g Alaska-pollakfilets diepvries;300 g Alaska-pollakfilets
12 Spar Frozen Selection rösti;12 stuks Spar Frozen Selection rösti;12 r�sti
8 eetlepel diepvries rode vruchten;8 eetlepels diepvries rode vruchten;8 eetlepels rode vruchten diepvries
1.5 el rietsuikersiroop;1.5 el rietsuikersiroop;1.5 el rietsuikersiroop
7 dl water;700ml water;700 ml water
4 eetl. verse geitenkaas;4 eetl. verse geitenkaas;4 eetl. geitenkaas
3 passievrucht;3 passievrucht;3 passies
2 spieringen (beenhouwerij);2 spieringen beenhouwerij;2 spieringen
6 takjes verse rozemarijn;6 takjes verse rozemarijn;6 takjes rozemarijn
2 blaadjes kropsla;2 blaadjes kropsla;2 blaadjes kropsla
4 cigarette koekjes;4 cigarette koekjes;4 cigarette koekjes
1 slamix Mesclun;1 slamix Mesclun;1 slamix
0.5 miniwatermeloen;0.5 miniwatermeloen;0,5 miniwatermeloen
1.5 dl hazelnoot-amandeldrink;150ml hazelnoot-amandeldrink;1.5 dl hazelnoot-amandeldrink
40 g pompoenpitten;40g pompoenpitten;40 g pompoenpitten
400 g spirelli of andere korte pasta;400g spirelli;400 g pasta
4 sneden belegen kazen;4 sneden belegen kaas;4 sneden belegde kazen
100 g rode vruchtenmix (diepvries);100g rode vruchtenmix diepvries;100 g rode vruchtenmix
100 g boekweitbloem;100g boekweitbloem;100 g boekweitbloem
1 koppen bloem;1 kop bloem;1 koppen bloem
4 stukken zeewolffilets (diepvries) van ongeveer 20 cm lang;4 stukken zeewolffilets diepvries;4 stukken zeewolffilets
3 eetl sojadrinks;3 eetl sojadrink;3 eetl soja
150 g groene linzen;150g groene linzen;150 g linzen
230 g gerookte forelfilets;230g gerookte forelfilets;230 g gerookte forelfilets
100 g Nazareth-kaas of andere abdijkaas;100g Nazareth-kaas;100 g Nazareth-kaas
6 sneetjes ontvette gekookte hesp (beenhouwerij);6 sneetjes ontvette gekookte hesp beenhouwerij;6 sneetjes ontvette hesp
340 g witte chocolade;340g witte chocolade;340 g witte chocolade
70 g amandelpoeder;70g amandelpoeder;70 g amandelpoeder
1 g zalmfilet;1g zalmfilet;1 g zalmfilet
680 g kikkererwten (blik);680g kikkererwten in blik;680 g kikkererwten
1 verpakking chop choy wok;1 verpakking chop choy wok;1 verpakking Chop Choy
10 druiven;10 druiven;10 druiven
50 g gemalen parmezaan;50g gemalen parmezaan;50 g parmezaan
4 bosjes waterkers;4 bosjes waterkers;4 bosjes waterkers
1 Turks plat brood;1 Turks plat brood;1 Turks plat brood
0.5 stengel selder;0.5 stengel selder;1 stengel selder
200 g witte druiven;200g witte druiven;200 g witte druiven
6 hamburgers rund + varken (beenhouwerij);6 hamburgers rund + varken (beenhouwerij);6 hamburgers
2 dunne lendes;2 dunne lendes;2 dunne lenden
140 g tomatenpuree (blikje);140g tomatenpuree in blik;140 g tomatenpuree
5 g agar agar;5g agar agar;5 g agar agar
500 g verse pasta bv tagliatelle;500g verse pasta;500 g tagliatelle pasta
185 g rodebietenspread;185g rodebietenspread;185 g rodebietenspread
5 cl melk;5cl melk;5 cl melk
250 g zalm;250g zalm;250 g zalm
40 g zeezout;40g zeezout;40 g zeezout
2 kl kappertjes (bokaal);2 kl kappertjes in bokaal;2 kappertjes
200 g fajitasaus (bokaal);200g fajitasaus in bokaal;200 g fajitasaus
40 g suiker;40g suiker;40 g suiker
1.5 koffielepels tomatenpuree;1.5 koffielepels tomatenpuree;1.5 koffielepels tomatenpuree
800 g suiker;800g suiker;800 g suiker
16 Boni Selection zwarte olijven;16 Boni Selection zwarte olijven;16 zwarte olijven
4 gele courgettini;4 gele courgettini;4 gele courgettini
1.5 blokje kippenbouillon;1.5 blokjes kippenbouillon;1.5 kg kippenbouillon
1 grote bos verse dille;1 grote bos verse dille;1 bos verse dille
4 kl citroensap;4kl citroensap;4 kl citroensap
15 ml rijstazijn;15ml rijstazijn;15 ml rijstazijn
60 g ricotta;60g ricotta;60 g ricotta
1 koffiel dille (gedroogd);1 koffielepel dille gedroogd;1 koffielepel dille
33 cl bruin bier naar keuze;33cl bruin bier;33 cl bier
12 witte druiven;12 witte druiven;12 witte druiven
700 g tomaten;700g tomaten;700 g tomaten
4 kippenbrochettes exotic (beenhouwerij);4 kippenbrochettes exotic beenhouwerij;4 kippenbrochettes
3 Voor  quiches met zalm en groenten:;3 Voor quiches met zalm en groenten;(Maakt geen sense om een ingredi�ntlijn te maken voor het particuliere gebruik van 3 quiches, maar kan helpen om de ingredi�ntenlijst voor de quiche zelf)
4 spruitjes;4 spruitjes;4 spruitjes
8 kerstomaat;8 kerstomaat;8 kerstomaat
100 g zongedroogde mediterrane tomaten (versmarkt);100g zongedroogde mediterrane tomaten versmarkt;100 g zongedroogde mediterrane tomaten
4 chocolademoelleuxs;4 chocolademoelleuxs;4 chocolademoelleuxs
200 g peultjes (diepvries);200g peultjes diepvries;200 g peultjes
4 peperkoek;4 peperkoek;4 peperkoek
6 takje platte peterselie;6 takjes platte peterselie;6 takjes peterselie
scheutje wijnazijn;scheutje wijnazijn;Scheutje wijnazijn
2 bos kervel;2 bossen kervel;2 bos kervel
20 suikereitjes;20 suikereitjes;20 suikereitjes
8 takjes verse tijm;8 takjes verse tijm;8 takjes tijm
0.5 bevroren banaan;0.5 bevroren banaan;0,5 bevroren banaan
0.5 kleine appel;0.5 appel;0.5 kleine appel
2 eetlepel fijngesneden munt;2 eetlepels munt;2 eetlepel fijn geraspte munt
10 grote aardperen;10 aardperen;10 grote aardperen
8 grote Charlotte aardappelen;8 Charlotte aardappelen;8 Charlotte aardappelen
8 grote tongfilet;8 tongfilet;8 tongfilet
1.5 eetlepels geraspte gember;1.5 eetlepels gember;1 eetlepel geraspte gember
50 g witte broden zonder korst;50g witte broden;50 g witte broden
1 grote rijpe avocado;1 avocado;1 avocado
3 kleine komkommers;3 komkommers;3 komkommers
12.5 cl lauw water;12.5cl water;12,5 cl water
20 aardappelkroketten voor in de oven (diepvries);20 aardappelkroketten diepvries voor in de oven;20 aardappelkroketten
8 el verse kaas (roomkaas);8 el verse roomkaas;8 el roomkaas
4 stuk Spar champignons;4 stuk Spar champignons;4 stukken champignons
1 klein blik Spar tomatenstukjes;1 klein blik Spar tomatenstukjes;1 blik tomatenstukjes
0.5 flesje tonic (gin-tonic framboos);0.5 flesje tonic;1 flesje tonic
2 Boni bio kleine uien;2 Boni bio uien;2 kleine uien bio
12 fijne sneden Spar Italiaanse ham;12 sneden Spar Italiaanse ham;12 sneden Italiaanse ham
5 Spar grote eidooiers;5 Spar eidooiers;5 grote eidooiers
500 g Spar gerookte zalmrestjes;500g Spar gerookte zalm;500 g gerookte zalmrestjes
100 g witte asperges vers of diepvries;100g witte asperges vers;100 g witte asperges
750 g Spar boter (topping);750g Spar boter;750 g boter
1.5 liter zelf getrokken kippenbouillon;1.5 liter kippenbouillon;1.5 liter kippenbouillon
270 g halfgedroogde kerstomaten in olie (versmarkt) + 4 eetl. olie uit de verpakking;270g halfgedroogde kerstomaten in olie versmarkt;270 g halfgedroogde kerstomaten in olie
3 cl puur cranberrysap bv Terschellinger;3cl puur cranberrysap;3 cl cranberrysap
10 witte asperges (diepvries) of vers;10 witte asperges;10 asperges
200 g paprikareepjes vers of diepvries;200g paprikareepjes;200 g paprikareepjes
2 kleine sjalotjes;2 sjalotjes;2 sjalotjes
2 komkommer in plakjes;2 komkommers;2 komkommer-plakjes
3 preiwitten groot;3 preiwitten;3 preiwortels
1 fles gekoelde Chardonnay;1 fles Chardonnay;1 fles Chardonnay
500 g Belgische aardbeien;500g Belgische aardbeien;500 g Belgische aardbeien
0.25 onbehandelde citroenen (bio)  koffiel geraspte schil;0.25 citroenen bio;0.25 onbehandelde citroenen
1 grote rammenas (ongeveer 350 gr);350g rammenas;1 grote rammenas (ongeveer 350 g)
0.5 eetlepel fijngesneden verse basilicum;0.5 eetlepel verse basilicum;0.5 eetlepel fijngesneden basilicum
"350 g Atlantische zalmhaasjes (diepvries) of Atlantische zalmsteak (diepvries; Kelvin)";350g Atlantische zalmhaasjes diepvries;350 g Atlantische zalm
1 koffiel. basilicum versgesnipperd;1 koffielepel basilicum;1 l basilicum
0.25 sap van  limoen;0.25 limoen;250 ml limoensap
20 gepelde en geblancheerde garnaalstaarten 'scampi' (diepvries);20 gepelde en geblancheerde scampi diepvries;20 gepelde en geblancheerde garnaalstaarten
1 zakjes slamix 'Mesclun' 175 g;175g zakje slamix 'Mesclun';175 g Mesclun
1 dl Muscat de Rivesaltes (witte likeurwijn);1 dl Muscat de Rivesaltes;1 dl Muscat de Rivesaltes
411 blikken peren op sap 411 g/blik + 6 dl sap uit blikken;411g blikken peren op sap;441 g peren op sap
450 gekookte kreeften (diepvries) 500 g;500g gekookte kreeften diepvries;450 g gekookte kreeften diepvries
500 g zachte roomkaas;500g roomkaas;500 g zachte roomkaas
60 g arrowroot (bindmiddel) facultatief;60g arrowroot bindmiddel;60 g arrowroot
17.5 g mixed pepper selection (molen);17.5g mixed pepper selection;17.5 g mengsel wit- en groene pepers
1 klein blikjes Boni zwarte bonen;1 klein blik Boni zwarte bonen;1 blik zwarte bonen
300 g gekookte spaghetti;300g spaghetti;300 g spaghetti
het hart van een bleekselder ( à 5 stengels);5 stengels bleekselder;1 hart bleekselder (5 stengels)
komkommers in plakjes;komkommers;komkommers
1.8 kg konijn in stukken gesneden;1.8kg konijn;1,8 kg konijn
enkele takken verse dragon en tijm;enkele takken verse dragon;Verse dragon, verse tijm
1 kg scampi’s (enkel schalen gebruiken);1kg scampi's;1 kg scampi
700 g biefstukken (beenhouwerij) extra dun;700g biefstukken beenhouwerij ;700 g biefstuk bezuinigd
2 dl melk of ongezoete plantaardige drink;200ml melk;melk (2 dl)
"10 ananasschijven (blik) + 1;5 dl sap uit het blik";10 ananasschijven in blik;10 ananasschijven (blik)
10 appel geschild en in blokjes;10 appels;10 appels
"10 konijn in stukken (diepvries) ± 1;3 kg";1.3kg konijn uit diepvries;1,3 kg konijn (diepvries)
"1 schapenkaas uit de vlaamse ardennen; geraspt of in blokjes";1 stuk schapenkaas uit de Vlaamse Ardennen;1 schapenkaas uit de Vlaamse Ardennen
10 eetl. ontpitte krieken op siroop + 4 eetl siroop;10 eetl. ontpitte krieken op siroop;10 eetl ontpitte krieken 100 g + 4 eetl siroop
"10 g gepelde biefstukken (beenhouwerij) 3 cm dik; cat. 1; vers of; colruyt-diepvriesvlees";10g biefstukken beenhouwerij;10 g biefstukken
1 snuifje peper en zout;1 snuifje peper;"peper
zout"
